country,climate_zone,latitude,longitude,date,month,temperature,humidity,rainfall,wind_speed,crop_type,crop_susceptibility,historical_infestation,aphid_risk,country_encoded,climate_encoded,crop_encoded
Poland,temperate,50.6443,19.1854,2022-02-16,2,14.3,59.5,88.5,13.9,Maize,0.7,0.305,0.024,32,3,2
Belgium,temperate,52.1178,4.2463,2020-03-06,3,17.8,82.9,146.3,6.4,Cotton,0.5,0.199,0.0,3,3,1
UK,temperate,54.0811,-1.8576,2020-06-02,6,27.6,57.2,9.4,3.8,Rice,0.6,0.485,0.063,43,3,4
Colombia,highland,4.4696,-75.0189,2020-03-31,3,20.5,56.1,180.4,11.1,Wheat,0.8,0.328,0.0,8,2,7
Saudi Arabia,arid,22.1231,44.3544,2022-05-23,5,32.5,31.7,10.2,5.0,Sugarcane,0.3,0.571,0.018,35,0,6
UK,temperate,54.5443,-1.6195,2020-10-15,10,5.7,48.5,136.9,4.9,Sugarcane,0.3,0.428,0.012,43,3,6
Ghana,tropical,8.1302,-0.5456,2022-06-25,6,20.5,93.3,110.5,5.7,Rice,0.6,0.611,0.025,14,4,4
Philippines,tropical,12.1001,120.0923,2020-04-14,4,21.1,69.6,62.4,13.5,Wheat,0.8,0.486,0.025,31,4,7
Spain,temperate,39.445,-3.1715,2023-08-13,8,17.7,75.0,32.8,6.8,Barley,0.7,0.582,0.046,38,3,0
Sri Lanka,tropical,6.537,80.1844,2020-02-26,2,26.0,60.8,26.2,4.4,Cotton,0.5,0.539,0.003,39,4,1
Russia,continental,62.1321,106.4999,2023-01-28,1,1.4,38.3,34.2,5.7,Soybean,0.9,0.401,0.011,34,1,5
Chile,temperate,-35.2311,-72.9984,2020-09-03,9,17.3,79.5,28.8,7.6,Wheat,0.8,0.276,0.0,6,3,7
Indonesia,tropical,-0.8065,114.0228,2022-02-16,2,33.7,80.2,32.7,8.3,Sugarcane,0.3,0.411,0.0,16,4,6
Norway,continental,59.9262,6.5229,2023-10-15,10,-1.5,55.6,86.1,17.2,Sugarcane,0.3,0.33,0.017,28,1,6
Brazil,tropical,-13.8341,-51.5964,2020-10-29,10,31.2,74.6,76.4,7.9,Rice,0.6,0.382,0.0,4,4,4
Bangladesh,temperate,23.5224,88.5925,2022-05-22,5,30.1,44.5,79.3,2.6,Rice,0.6,0.722,0.028,2,3,4
Thailand,tropical,15.5849,99.7918,2023-10-15,10,35.0,79.8,3.1,7.4,Sugarcane,0.3,0.379,0.0,41,4,6
South Korea,temperate,36.6383,128.229,2023-12-26,12,-2.0,63.5,81.1,1.8,Rice,0.6,0.518,0.012,37,3,4
South Africa,temperate,-31.1665,23.7447,2020-07-21,7,29.6,69.2,107.8,12.0,Maize,0.7,0.67,0.0,36,3,2
Brazil,tropical,-13.1682,-51.1836,2021-03-02,3,29.6,88.1,44.8,2.4,Cotton,0.5,0.36,0.003,4,4,1
Canada,continental,57.538,-105.1963,2021-10-12,10,8.3,55.6,1.5,4.2,Sugarcane,0.3,0.651,0.024,5,1,6
Turkey,temperate,37.9925,36.4513,2021-05-25,5,20.8,67.7,36.9,13.9,Sugarcane,0.3,0.737,0.043,42,3,6
Saudi Arabia,arid,23.1799,46.1116,2020-05-27,5,41.5,34.0,7.7,16.1,Rice,0.6,0.504,0.007,35,0,4
Sweden,continental,58.996,19.882,2020-10-31,10,14.3,57.8,14.0,8.2,Soybean,0.9,0.424,0.0,40,1,5
Bangladesh,temperate,23.0183,91.388,2022-09-29,9,9.2,71.2,112.9,19.4,Soybean,0.9,0.659,0.02,2,3,5
Egypt,arid,26.2834,31.1707,2022-01-22,1,41.2,19.1,0.2,23.9,Potato,0.4,0.128,0.036,9,0,3
Finland,continental,62.293,24.9136,2022-08-16,8,18.8,33.9,33.4,16.0,Soybean,0.9,0.433,0.007,11,1,5
UK,temperate,54.9362,-4.1359,2020-06-21,6,19.0,72.1,122.3,0.8,Barley,0.7,0.471,0.004,43,3,0
Australia,temperate,-24.9654,135.4219,2022-05-05,5,23.8,63.6,87.1,1.9,Barley,0.7,0.402,0.07,1,3,0
Mexico,arid,22.7044,-102.0742,2021-08-03,8,41.5,33.7,3.7,26.5,Maize,0.7,0.037,0.022,22,0,2
Peru,highland,-9.381,-73.3444,2022-05-12,5,15.1,71.9,80.1,8.4,Rice,0.6,0.516,0.019,30,2,4
USA,temperate,37.8868,-99.0759,2022-04-24,4,16.5,76.4,101.3,0.3,Potato,0.4,0.749,0.051,44,3,3
Netherlands,temperate,53.2795,4.5037,2023-09-09,9,22.1,59.4,137.6,3.7,Maize,0.7,0.589,0.013,25,3,2
Netherlands,temperate,51.3143,6.6787,2023-04-26,4,25.1,48.2,30.6,4.1,Maize,0.7,0.362,0.106,25,3,2
Nepal,highland,29.8459,84.5592,2021-03-22,3,16.5,71.0,57.6,3.2,Rice,0.6,0.283,0.016,24,2,4
Nigeria,tropical,9.6727,8.8135,2023-05-09,5,30.5,94.4,127.0,2.3,Sugarcane,0.3,0.587,0.032,27,4,6
Australia,temperate,-26.2759,132.6891,2020-01-01,1,4.6,72.7,142.0,9.3,Cotton,0.5,0.178,0.0,1,3,1
Turkey,temperate,37.9707,33.6765,2023-08-17,8,25.7,43.7,25.0,2.6,Cotton,0.5,0.631,0.019,42,3,1
Ukraine,temperate,50.1301,31.8955,2020-08-16,8,22.7,84.7,61.0,8.5,Sugarcane,0.3,0.548,0.014,45,3,6
Netherlands,temperate,53.1469,5.957,2021-07-13,7,22.0,42.5,46.7,19.7,Sugarcane,0.3,0.646,0.011,25,3,6
Finland,continental,62.4688,27.7693,2022-12-07,12,0.2,61.1,15.5,5.7,Soybean,0.9,0.492,0.0,11,1,5
Belgium,temperate,52.7251,6.3336,2021-10-13,10,13.6,83.2,123.5,11.1,Wheat,0.8,0.231,0.024,3,3,7
Netherlands,temperate,52.7677,6.2871,2020-07-23,7,26.3,63.3,47.3,5.2,Sugarcane,0.3,0.583,0.0,25,3,6
Ghana,tropical,7.9712,0.4986,2023-01-02,1,24.2,73.4,10.0,5.4,Sugarcane,0.3,0.551,0.068,14,4,6
UK,temperate,54.5354,-3.6794,2023-09-10,9,22.9,64.3,75.6,9.6,Barley,0.7,0.501,0.004,43,3,0
Argentina,temperate,-38.8977,-65.4942,2023-08-14,8,17.3,63.6,60.1,4.0,Wheat,0.8,0.106,0.049,0,3,7
Spain,temperate,39.7567,-3.172,2020-05-09,5,29.0,48.7,50.8,17.5,Maize,0.7,0.722,0.02,38,3,2
Saudi Arabia,arid,23.8723,47.0799,2021-07-01,7,44.6,19.5,10.6,15.8,Potato,0.4,0.45,0.0,35,0,3
Finland,continental,63.5048,27.5929,2023-12-05,12,-15.4,56.7,17.9,15.6,Rice,0.6,0.172,0.007,11,1,4
Morocco,arid,31.558,-6.463,2023-10-29,10,36.9,47.7,17.5,21.6,Rice,0.6,0.473,0.0,23,0,4
Saudi Arabia,arid,23.2143,43.4891,2023-04-22,4,23.6,41.0,21.8,11.6,Sugarcane,0.3,0.385,0.046,35,0,6
Italy,temperate,41.0956,12.5772,2022-08-21,8,16.9,60.5,0.4,5.4,Rice,0.6,0.296,0.011,18,3,4
Bangladesh,temperate,21.7303,89.1706,2021-07-23,7,27.8,64.1,92.9,18.0,Barley,0.7,0.718,0.0,2,3,0
France,temperate,46.4846,3.1117,2023-08-28,8,20.0,71.6,14.1,7.0,Rice,0.6,0.458,0.021,12,3,4
Portugal,temperate,39.0523,-6.4509,2020-09-03,9,18.8,48.7,91.3,8.9,Potato,0.4,0.438,0.0,33,3,3
Finland,continental,62.9639,26.8838,2021-01-15,1,-0.4,64.5,64.7,4.8,Barley,0.7,0.231,0.0,11,1,0
Norway,continental,61.286,7.5008,2022-11-03,11,-6.1,70.7,87.0,3.9,Cotton,0.5,0.564,0.0,28,1,1
France,temperate,45.9714,3.8787,2020-11-21,11,9.1,41.7,17.8,17.0,Wheat,0.8,0.474,0.021,12,3,7
Turkey,temperate,37.1114,34.9429,2021-04-07,4,12.1,44.7,122.6,6.8,Potato,0.4,0.412,0.009,42,3,3
UK,temperate,57.197,-4.2764,2022-01-14,1,4.9,75.9,24.4,19.5,Rice,0.6,0.254,0.0,43,3,4
Venezuela,highland,6.461,-66.0764,2020-08-02,8,18.1,77.1,174.2,6.9,Rice,0.6,0.5,0.036,46,2,4
Argentina,temperate,-36.5374,-64.5979,2023-06-17,6,32.7,51.7,111.6,10.2,Soybean,0.9,0.242,0.033,0,3,5
Ghana,tropical,9.529,-1.145,2022-07-28,7,34.5,60.1,204.2,11.1,Wheat,0.8,0.56,0.016,14,4,7
South Korea,temperate,36.0674,129.6492,2023-09-21,9,20.7,50.7,50.3,3.2,Cotton,0.5,0.728,0.014,37,3,1
Morocco,arid,32.3291,-7.986,2020-12-06,12,17.9,37.5,25.2,23.2,Cotton,0.5,0.382,0.0,23,0,1
Sri Lanka,tropical,6.6968,80.8056,2021-12-01,12,24.5,84.9,38.6,1.1,Potato,0.4,0.515,0.028,39,4,3
Philippines,tropical,12.1787,121.3616,2020-07-28,7,21.2,72.5,228.2,6.9,Cotton,0.5,0.502,0.0,31,4,1
Colombia,highland,2.69,-74.1462,2021-09-23,9,14.1,68.8,176.1,8.9,Potato,0.4,0.219,0.0,8,2,3
Vietnam,tropical,13.7617,106.7117,2023-05-14,5,27.0,88.2,133.7,2.0,Barley,0.7,0.485,0.0,47,4,0
Argentina,temperate,-37.7421,-63.6022,2022-09-01,9,8.1,78.5,110.5,5.4,Cotton,0.5,0.081,0.0,0,3,1
Bangladesh,temperate,22.1741,91.8953,2022-02-26,2,17.0,51.8,127.4,10.9,Rice,0.6,0.711,0.03,2,3,4
Ukraine,temperate,48.4801,31.6606,2022-06-18,6,22.3,77.1,112.0,13.8,Wheat,0.8,0.489,0.0,45,3,7
Russia,continental,62.5903,105.7502,2021-01-13,1,-0.8,61.3,91.9,3.6,Potato,0.4,0.639,0.0,34,1,3
Venezuela,highland,7.8786,-65.4593,2023-03-28,3,23.7,72.0,196.6,4.4,Maize,0.7,0.385,0.001,46,2,2
Nigeria,tropical,10.7182,9.3406,2021-10-06,10,31.1,72.7,33.4,14.0,Sugarcane,0.3,0.73,0.049,27,4,6
Malaysia,tropical,4.8902,100.7122,2021-06-08,6,32.0,92.5,31.1,11.9,Maize,0.7,0.381,0.041,21,4,2
Turkey,temperate,40.7917,36.4418,2023-01-02,1,10.4,57.9,52.9,8.9,Rice,0.6,0.705,0.044,42,3,4
Malaysia,tropical,2.2681,102.1513,2020-07-23,7,29.4,74.8,248.3,3.7,Soybean,0.9,0.415,0.0,21,4,5
China,temperate,34.4517,105.4299,2020-07-23,7,23.2,65.1,9.8,9.2,Potato,0.4,0.39,0.043,7,3,3
Iran,arid,32.7968,54.1452,2020-06-12,6,31.8,39.5,8.5,8.4,Soybean,0.9,0.402,0.002,17,0,5
Ethiopia,tropical,7.2873,39.9334,2022-07-20,7,32.4,85.0,91.0,8.8,Wheat,0.8,0.351,0.03,10,4,7
Japan,temperate,34.2182,136.6534,2021-08-03,8,26.3,65.4,96.6,0.9,Cotton,0.5,0.425,0.034,19,3,1
Ethiopia,tropical,10.1177,39.5176,2021-10-16,10,31.8,73.5,47.4,11.4,Sugarcane,0.3,0.562,0.0,10,4,6
Morocco,arid,33.246,-8.5579,2021-09-07,9,22.9,19.5,27.7,14.8,Wheat,0.8,0.265,0.021,23,0,7
Belgium,temperate,50.427,2.8849,2020-07-15,7,19.8,53.7,109.8,14.5,Soybean,0.9,0.437,0.0,3,3,5
UK,temperate,54.0724,-1.5493,2020-05-17,5,30.5,50.5,54.2,17.4,Barley,0.7,0.428,0.039,43,3,0
Chile,temperate,-34.918,-70.1717,2021-12-31,12,-1.4,64.1,35.0,17.1,Maize,0.7,0.347,0.0,6,3,2
Pakistan,arid,30.9059,70.4246,2020-08-26,8,28.8,13.8,25.8,19.5,Barley,0.7,0.26,0.02,29,0,0
Indonesia,tropical,-0.9286,115.7867,2023-01-05,1,27.8,85.4,49.3,14.9,Wheat,0.8,0.501,0.039,16,4,7
South Africa,temperate,-31.1046,21.7436,2022-04-09,4,12.3,47.9,9.8,12.8,Soybean,0.9,0.514,0.074,36,3,5
Argentina,temperate,-36.823,-64.2032,2023-07-19,7,23.4,77.8,14.8,3.8,Rice,0.6,0.191,0.015,0,3,4
Turkey,temperate,38.0568,34.075,2023-03-04,3,21.6,58.7,99.6,0.3,Soybean,0.9,0.593,0.022,42,3,5
France,temperate,44.5482,3.8259,2022-07-13,7,19.3,43.1,120.5,0.5,Barley,0.7,0.094,0.0,12,3,0
Vietnam,tropical,13.3804,109.8828,2023-05-01,5,28.3,73.8,167.3,3.7,Rice,0.6,0.551,0.0,47,4,4
Sweden,continental,59.2493,19.3577,2023-07-04,7,12.5,53.8,36.2,18.9,Cotton,0.5,0.441,0.05,40,1,1
Nigeria,tropical,7.2122,10.494,2023-07-04,7,33.4,77.3,127.7,12.1,Soybean,0.9,0.396,0.054,27,4,5
Bangladesh,temperate,23.1141,91.4842,2021-04-05,4,17.1,80.9,7.0,19.8,Sugarcane,0.3,0.747,0.0,2,3,6
Vietnam,tropical,15.9943,109.7472,2022-05-10,5,22.8,90.7,147.9,5.5,Maize,0.7,0.562,0.0,47,4,2
Mexico,arid,24.6373,-101.9898,2020-11-15,11,43.7,14.1,18.5,16.0,Wheat,0.8,0.114,0.004,22,0,7
New Zealand,temperate,-41.4784,176.3462,2022-12-24,12,10.3,41.5,33.0,18.5,Wheat,0.8,0.198,0.005,26,3,7
Venezuela,highland,6.8736,-65.0634,2020-08-12,8,5.3,62.1,151.1,9.5,Wheat,0.8,0.303,0.023,46,2,7
Kenya,tropical,-0.1481,36.5001,2022-10-24,10,30.8,82.1,7.5,13.8,Rice,0.6,0.501,0.001,20,4,4
USA,temperate,41.0396,-99.7774,2020-01-15,1,10.5,44.8,34.2,0.2,Soybean,0.9,0.648,0.033,44,3,5
China,temperate,36.9024,102.257,2023-03-02,3,11.8,82.5,23.9,9.5,Wheat,0.8,0.123,0.033,7,3,7
Peru,highland,-10.0228,-73.837,2020-08-13,8,19.7,73.5,50.3,6.7,Barley,0.7,0.308,0.061,30,2,0
Turkey,temperate,38.849,35.5858,2022-05-01,5,22.2,73.0,63.1,6.1,Maize,0.7,0.562,0.06,42,3,2
Indonesia,tropical,-0.2955,113.6854,2023-08-03,8,23.1,67.8,168.2,7.9,Cotton,0.5,0.365,0.028,16,4,1
Philippines,tropical,13.9625,122.4606,2020-11-02,11,20.9,71.5,93.2,4.0,Sugarcane,0.3,0.806,0.0,31,4,6
Mexico,arid,24.8244,-100.6027,2023-07-10,7,32.0,16.9,18.4,1.6,Barley,0.7,0.062,0.0,22,0,0
Saudi Arabia,arid,24.6083,44.5579,2022-11-05,11,40.7,48.0,1.4,28.7,Potato,0.4,0.516,0.0,35,0,3
Argentina,temperate,-37.639,-62.0667,2023-10-12,10,11.9,66.2,62.4,12.6,Sugarcane,0.3,0.267,0.004,0,3,6
Netherlands,temperate,53.9796,3.7793,2020-08-14,8,13.3,56.0,59.5,1.6,Barley,0.7,0.642,0.002,25,3,0
Nigeria,tropical,10.1226,7.6636,2020-02-12,2,23.8,64.5,74.6,4.4,Cotton,0.5,0.693,0.024,27,4,1
China,temperate,34.9245,103.7322,2021-07-23,7,16.5,47.2,75.2,10.0,Soybean,0.9,0.27,0.03,7,3,5
Germany,temperate,49.5771,9.35,2022-01-22,1,13.0,61.7,127.2,6.6,Cotton,0.5,0.113,0.0,13,3,1
China,temperate,34.3172,102.611,2020-08-15,8,17.2,72.4,14.7,5.9,Potato,0.4,0.281,0.034,7,3,3
Peru,highland,-9.2375,-73.2861,2022-05-05,5,13.8,65.3,9.3,3.7,Potato,0.4,0.48,0.038,30,2,3
Philippines,tropical,12.0197,123.3462,2021-12-04,12,21.7,78.6,92.1,8.9,Soybean,0.9,0.422,0.055,31,4,5
Poland,temperate,51.3741,17.2798,2023-03-23,3,19.6,42.7,91.2,19.7,Maize,0.7,0.161,0.028,32,3,2
Ukraine,temperate,47.2709,31.3831,2023-10-01,10,3.6,80.6,139.0,14.6,Barley,0.7,0.652,0.026,45,3,0
Turkey,temperate,40.8298,34.4282,2020-09-10,9,19.3,55.1,98.0,19.7,Soybean,0.9,0.366,0.0,42,3,5
Thailand,tropical,14.3693,102.3996,2020-05-13,5,28.9,93.2,122.8,13.4,Sugarcane,0.3,0.428,0.049,41,4,6
India,tropical,20.7268,77.4149,2023-04-05,4,26.4,71.2,44.6,13.9,Soybean,0.9,0.591,0.067,15,4,5
Iran,arid,33.3668,54.3729,2023-07-29,7,20.5,40.3,26.4,0.3,Cotton,0.5,0.186,0.03,17,0,1
Nigeria,tropical,8.845,7.3307,2023-08-21,8,32.2,88.7,36.3,11.2,Wheat,0.8,0.553,0.0,27,4,7
UK,temperate,56.2705,-3.5864,2022-05-09,5,20.5,66.2,49.2,17.7,Wheat,0.8,0.577,0.0,43,3,7
UK,temperate,55.2509,-3.7862,2021-08-04,8,13.8,44.5,131.8,10.9,Soybean,0.9,0.364,0.0,43,3,5
Ethiopia,tropical,7.3966,41.1417,2020-06-29,6,35.0,89.7,139.6,3.0,Barley,0.7,0.513,0.029,10,4,0
Peru,highland,-9.4401,-76.1919,2022-03-13,3,22.0,53.5,103.3,10.8,Sugarcane,0.3,0.242,0.003,30,2,6
Saudi Arabia,arid,23.3727,47.053,2022-05-07,5,37.0,16.8,2.7,3.9,Maize,0.7,0.27,0.0,35,0,2
Australia,temperate,-23.5099,134.9571,2021-11-02,11,4.4,51.9,23.4,2.0,Barley,0.7,0.456,0.016,1,3,0
Ghana,tropical,6.0934,-2.8703,2020-10-28,10,32.0,68.2,64.7,12.4,Barley,0.7,0.523,0.03,14,4,0
Netherlands,temperate,51.7021,3.3603,2023-12-10,12,9.9,42.1,86.2,11.0,Soybean,0.9,0.569,0.05,25,3,5
Bangladesh,temperate,24.7915,88.6236,2020-01-15,1,9.4,81.1,56.4,14.2,Soybean,0.9,0.548,0.036,2,3,5
Ukraine,temperate,48.0182,31.3912,2021-05-22,5,24.0,80.5,33.8,12.0,Cotton,0.5,0.46,0.0,45,3,1
Ethiopia,tropical,7.4681,40.0336,2023-08-29,8,31.9,60.7,52.8,0.1,Soybean,0.9,0.496,0.0,10,4,5
South Korea,temperate,37.0545,129.5524,2020-08-21,8,25.8,78.6,123.7,18.8,Cotton,0.5,0.619,0.0,37,3,1
New Zealand,temperate,-40.142,176.5118,2023-12-29,12,12.2,63.7,56.9,10.1,Rice,0.6,0.468,0.0,26,3,4
Portugal,temperate,39.9926,-6.3481,2021-04-14,4,13.8,52.7,0.0,16.1,Rice,0.6,0.215,0.021,33,3,4
Argentina,temperate,-39.5605,-62.8219,2022-06-23,6,25.3,74.2,61.4,12.1,Cotton,0.5,0.192,0.005,0,3,1
Chile,temperate,-35.2519,-71.7132,2022-08-03,8,18.3,47.3,36.1,15.1,Soybean,0.9,0.4,0.0,6,3,5
South Korea,temperate,35.1154,128.6343,2022-11-04,11,5.5,46.0,141.7,10.4,Potato,0.4,0.668,0.0,37,3,3
Ghana,tropical,7.805,-2.0138,2023-04-18,4,24.8,91.1,51.3,12.2,Potato,0.4,0.652,0.059,14,4,3
Chile,temperate,-36.3818,-71.1347,2023-12-03,12,11.2,70.8,136.2,19.9,Wheat,0.8,0.257,0.002,6,3,7
Nepal,highland,28.0559,84.7918,2023-08-03,8,15.4,59.1,54.9,8.4,Soybean,0.9,0.111,0.005,24,2,5
Sweden,continental,59.0832,17.9999,2023-05-07,5,30.3,31.8,37.4,23.9,Barley,0.7,0.625,0.035,40,1,0
Nepal,highland,27.3062,84.8366,2021-04-11,4,17.9,70.5,107.0,5.1,Maize,0.7,0.218,0.0,24,2,2
Chile,temperate,-34.2831,-70.2138,2022-02-11,2,2.8,77.7,36.0,5.7,Sugarcane,0.3,0.135,0.0,6,3,6
Germany,temperate,49.3285,9.2266,2023-07-01,7,22.3,82.4,56.1,19.2,Maize,0.7,0.344,0.019,13,3,2
Colombia,highland,4.0149,-73.4935,2022-05-17,5,10.1,50.3,16.7,12.6,Soybean,0.9,0.445,0.017,8,2,5
Netherlands,temperate,50.9707,4.1933,2020-07-31,7,16.1,84.2,59.8,3.0,Cotton,0.5,0.415,0.017,25,3,1
Canada,continental,57.4189,-106.2698,2022-08-11,8,23.4,45.4,42.8,24.1,Rice,0.6,0.337,0.0,5,1,4
Indonesia,tropical,-2.0521,114.75,2023-10-24,10,22.0,73.7,43.9,5.4,Cotton,0.5,0.44,0.0,16,4,1
France,temperate,46.439,1.4475,2020-01-17,1,0.7,75.9,48.4,4.6,Potato,0.4,0.303,0.012,12,3,3
South Africa,temperate,-32.5932,22.2275,2021-02-13,2,3.6,68.7,148.3,14.3,Sugarcane,0.3,0.503,0.017,36,3,6
Japan,temperate,37.7329,139.9615,2021-11-07,11,-1.2,69.7,21.9,8.0,Sugarcane,0.3,0.666,0.03,19,3,6
Japan,temperate,34.3605,138.3209,2023-03-01,3,9.1,75.7,0.6,11.5,Sugarcane,0.3,0.727,0.0,19,3,6
Canada,continental,56.2517,-106.2567,2020-12-13,12,-16.7,55.7,12.9,11.2,Rice,0.6,0.533,0.049,5,1,4
Bangladesh,temperate,21.7658,89.0203,2020-01-12,1,6.5,76.7,54.6,9.7,Rice,0.6,0.368,0.019,2,3,4
Philippines,tropical,13.2514,123.3229,2023-09-17,9,24.8,60.2,201.2,3.4,Cotton,0.5,0.497,0.0,31,4,1
Indonesia,tropical,-0.334,115.1686,2020-08-27,8,21.1,82.7,35.9,4.1,Rice,0.6,0.489,0.0,16,4,4
Japan,temperate,34.6761,138.8979,2022-08-20,8,16.0,49.3,150.0,15.3,Cotton,0.5,0.599,0.0,19,3,1
UK,temperate,56.073,-2.9948,2020-06-02,6,21.1,73.0,105.4,7.2,Barley,0.7,0.293,0.039,43,3,0
Sweden,continental,61.8626,18.4428,2020-11-13,11,-11.6,55.8,87.9,9.5,Potato,0.4,0.501,0.018,40,1,3
Iran,arid,31.9627,51.7395,2020-01-27,1,19.2,29.6,23.3,17.6,Wheat,0.8,0.152,0.0,17,0,7
Thailand,tropical,15.5977,100.9637,2023-01-10,1,24.3,61.2,27.7,8.4,Cotton,0.5,0.547,0.0,41,4,1
China,temperate,35.2128,104.802,2021-07-30,7,29.9,53.4,50.3,12.5,Cotton,0.5,0.289,0.034,7,3,1
Iran,arid,33.7312,54.9818,2023-10-01,10,44.6,27.6,11.8,5.7,Cotton,0.5,0.514,0.028,17,0,1
Kenya,tropical,0.1016,36.6625,2021-01-14,1,34.5,60.8,5.3,6.8,Sugarcane,0.3,0.664,0.0,20,4,6
Vietnam,tropical,13.0444,108.1053,2021-07-18,7,20.7,79.1,222.7,3.3,Sugarcane,0.3,0.391,0.004,47,4,6
Saudi Arabia,arid,22.3792,44.3981,2022-05-08,5,17.9,35.1,14.4,19.0,Potato,0.4,0.294,0.024,35,0,3
Belgium,temperate,50.7269,3.4699,2020-05-22,5,16.4,41.6,144.7,1.8,Soybean,0.9,0.459,0.0,3,3,5
Mexico,arid,24.8475,-101.8736,2022-03-09,3,18.4,34.0,3.7,27.8,Rice,0.6,0.369,0.052,22,0,4
Indonesia,tropical,-2.2439,113.7071,2020-06-22,6,32.4,94.2,139.9,3.5,Barley,0.7,0.253,0.009,16,4,0
Brazil,tropical,-15.0652,-51.8894,2023-11-25,11,20.2,68.6,93.9,6.6,Barley,0.7,0.487,0.0,4,4,0
Argentina,temperate,-38.5563,-64.0413,2023-05-05,5,24.5,73.1,0.2,16.6,Soybean,0.9,0.176,0.206,0,3,5
Kenya,tropical,-0.3213,36.4624,2020-04-09,4,20.6,63.8,42.7,3.9,Barley,0.7,0.401,0.093,20,4,0
Venezuela,highland,6.2143,-67.3649,2020-02-19,2,16.3,66.2,87.8,9.4,Maize,0.7,0.576,0.029,46,2,2
South Africa,temperate,-31.3456,23.2475,2022-03-14,3,13.8,55.6,98.9,0.2,Rice,0.6,0.459,0.0,36,3,4
Belgium,temperate,50.2808,5.5198,2020-07-19,7,23.4,67.1,101.1,8.5,Wheat,0.8,0.283,0.039,3,3,7
Italy,temperate,40.6584,14.1795,2023-02-12,2,9.5,53.5,47.7,19.7,Potato,0.4,0.33,0.027,18,3,3
Spain,temperate,42.4317,-5.2858,2022-07-12,7,18.4,58.3,147.3,6.9,Maize,0.7,0.48,0.006,38,3,2
Australia,temperate,-26.4985,133.1078,2021-01-29,1,13.5,72.3,98.8,13.9,Cotton,0.5,0.265,0.019,1,3,1
Ukraine,temperate,47.0511,31.8554,2023-03-31,3,7.9,65.3,147.6,9.6,Maize,0.7,0.37,0.0,45,3,2
Mexico,arid,22.0855,-100.9393,2023-08-14,8,18.5,38.1,2.2,15.9,Soybean,0.9,0.297,0.064,22,0,5
Spain,temperate,41.8489,-2.2976,2022-03-27,3,13.5,57.2,55.7,1.4,Cotton,0.5,0.69,0.0,38,3,1
Sri Lanka,tropical,8.7397,79.9339,2021-01-15,1,25.8,77.5,42.5,1.4,Wheat,0.8,0.479,0.076,39,4,7
Mexico,arid,25.5389,-101.3261,2021-11-12,11,18.7,26.5,16.1,20.4,Potato,0.4,0.322,0.0,22,0,3
Spain,temperate,38.6473,-3.7641,2021-04-23,4,24.9,80.3,140.6,14.7,Potato,0.4,0.683,0.0,38,3,3
Iran,arid,30.5016,54.9781,2023-06-04,6,28.1,33.9,9.9,12.6,Cotton,0.5,0.193,0.041,17,0,1
Nigeria,tropical,7.8319,10.3444,2022-02-24,2,21.6,76.5,62.9,6.3,Potato,0.4,0.555,0.005,27,4,3
USA,temperate,40.0062,-97.9265,2021-06-10,6,20.9,73.7,118.8,1.9,Soybean,0.9,0.435,0.068,44,3,5
Saudi Arabia,arid,23.4464,43.5875,2020-03-11,3,39.8,19.2,27.5,16.7,Maize,0.7,0.357,0.003,35,0,2
Saudi Arabia,arid,25.782,44.0817,2023-12-22,12,20.3,49.1,24.3,27.5,Potato,0.4,0.409,0.012,35,0,3
Brazil,tropical,-13.0745,-50.9146,2023-08-28,8,34.4,76.4,294.6,12.4,Barley,0.7,0.569,0.049,4,4,0
Pakistan,arid,32.0546,68.9939,2021-01-31,1,20.9,26.9,21.8,15.5,Sugarcane,0.3,0.303,0.0,29,0,6
Germany,temperate,49.4609,9.3295,2022-08-27,8,26.9,72.0,110.1,18.7,Barley,0.7,0.152,0.0,13,3,0
Brazil,tropical,-12.5608,-52.6886,2020-09-05,9,22.1,79.0,210.0,8.2,Sugarcane,0.3,0.613,0.0,4,4,6
Australia,temperate,-23.6224,133.0775,2022-06-06,6,31.9,44.9,18.3,1.1,Potato,0.4,0.381,0.015,1,3,3
Sweden,continental,61.7372,19.698,2023-01-07,1,0.2,68.3,59.0,22.7,Wheat,0.8,0.663,0.035,40,1,7
Saudi Arabia,arid,22.9669,43.119,2020-04-25,4,30.5,25.3,13.1,22.3,Cotton,0.5,0.462,0.008,35,0,1
China,temperate,35.5412,103.0861,2022-11-08,11,0.5,75.1,142.1,8.4,Potato,0.4,0.363,0.0,7,3,3
Colombia,highland,3.4415,-73.3432,2021-10-12,10,7.5,55.6,86.6,11.6,Sugarcane,0.3,0.245,0.0,8,2,6
Ghana,tropical,6.702,-0.5116,2021-09-11,9,34.7,62.0,187.6,12.8,Barley,0.7,0.605,0.023,14,4,0
Peru,highland,-10.7943,-76.4884,2022-10-08,10,18.2,57.5,189.2,8.9,Rice,0.6,0.302,0.01,30,2,4
Pakistan,arid,30.4815,69.1359,2021-05-11,5,28.6,23.1,24.5,24.3,Barley,0.7,0.408,0.049,29,0,0
Ghana,tropical,8.3055,-0.203,2021-06-15,6,22.0,86.8,39.4,4.5,Soybean,0.9,0.595,0.064,14,4,5
